Age,Cabin,Embarked,Fare,Name,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,Surname,Title,GroupId,GroupCond,GroupCondFreq,TicketId,GroupCondSurvival
2.0,,S,31.275,"Andersson, Miss. Ellis Anna Maria",2,120,3,female,4,0.0,34708X,Andersson,woman,Andersson-S-3-34708X-31.275,Andersson-S-3-34708X-31.275,6,S-3-34708X-31.275,0.0
9.0,,S,31.275,"Andersson, Miss. Ingeborg Constanzia",2,542,3,female,4,0.0,34708X,Andersson,woman,Andersson-S-3-34708X-31.275,Andersson-S-3-34708X-31.275,6,S-3-34708X-31.275,0.0
11.0,,S,31.275,"Andersson, Miss. Sigrid Elisabeth",2,543,3,female,4,0.0,34708X,Andersson,woman,Andersson-S-3-34708X-31.275,Andersson-S-3-34708X-31.275,6,S-3-34708X-31.275,0.0
39.0,,S,31.275,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",5,611,3,female,1,0.0,34708X,Andersson,woman,Andersson-S-3-34708X-31.275,Andersson-S-3-34708X-31.275,6,S-3-34708X-31.275,0.0
6.0,,S,31.275,"Andersson, Miss. Ebba Iris Alfrida",2,814,3,female,4,0.0,34708X,Andersson,woman,Andersson-S-3-34708X-31.275,Andersson-S-3-34708X-31.275,6,S-3-34708X-31.275,0.0
4.0,,S,31.275,"Andersson, Master. Sigvard Harald Elias",2,851,3,male,4,0.0,34708X,Andersson,boy,Andersson-S-3-34708X-31.275,Andersson-S-3-34708X-31.275,6,S-3-34708X-31.275,0.0
45.0,,C,14.4542,"Barbara, Mrs. (Catherine David)",1,363,3,female,0,0.0,269X,Barbara,woman,Barbara-C-3-269X-14.4542,Barbara-C-3-269X-14.4542,2,C-3-269X-14.4542,0.0
18.0,,C,14.4542,"Barbara, Miss. Saiide",1,703,3,female,0,0.0,269X,Barbara,woman,Barbara-C-3-269X-14.4542,Barbara-C-3-269X-14.4542,2,C-3-269X-14.4542,0.0
35.5,,C,15.2458,"Boulos, Mrs. Joseph (Sultana)",2,141,3,female,0,0.0,267X,Boulos,woman,Boulos-C-3-267X-15.2458,Boulos-C-3-267X-15.2458,3,C-3-267X-15.2458,0.0
9.0,,C,15.2458,"Boulos, Miss. Nourelain",1,853,3,female,1,0.0,267X,Boulos,woman,Boulos-C-3-267X-15.2458,Boulos-C-3-267X-15.2458,3,C-3-267X-15.2458,0.0
6.0,,C,15.2458,"Boulos, Master. Akar",1,972,3,male,1,,267X,Boulos,boy,Boulos-C-3-267X-15.2458,Boulos-C-3-267X-15.2458,3,C-3-267X-15.2458,0.0
30.0,,S,8.6625,"Cacic, Miss. Marija",0,535,3,female,0,0.0,31508X,Cacic,woman,Cacic-S-3-31508X-8.6625,Cacic-S-3-31508X-8.6625,3,S-3-31508X-8.6625,0.0
21.0,,S,8.6625,"Cacic, Miss. Manda",0,929,3,female,0,,31508X,Cacic,woman,Cacic-S-3-31508X-8.6625,Cacic-S-3-31508X-8.6625,3,S-3-31508X-8.6625,0.0
23.0,,S,8.6625,"Oreskovic, Miss. Jelka",0,1172,3,female,0,,31508X,Oreskovic,woman,Cacic-S-3-31508X-8.6625,Cacic-S-3-31508X-8.6625,3,S-3-31508X-8.6625,0.0
30.5,,Q,7.75,"Mangan, Miss. Mary",0,768,3,female,0,0.0,36485X,Mangan,woman,Canavan-Q-3-36485X-7.75,Canavan-Q-3-36485X-7.75,3,Q-3-36485X-7.75,0.0
28.0,,Q,7.75,"O'Donoghue, Ms. Bridget",0,980,3,female,0,,36485X,O'Donoghue,woman,Canavan-Q-3-36485X-7.75,Canavan-Q-3-36485X-7.75,3,Q-3-36485X-7.75,0.0
22.0,,Q,7.75,"Fleming, Miss. Honora",0,1174,3,female,0,,36485X,Fleming,woman,Canavan-Q-3-36485X-7.75,Canavan-Q-3-36485X-7.75,3,Q-3-36485X-7.75,0.0
14.0,,S,7.8542,"Vestrom, Miss. Hulda Amanda Adolfina",0,15,3,female,0,0.0,35040X,Vestrom,woman,Carlsson-S-3-35040X-7.8542,Carlsson-S-3-35040X-7.8542,2,S-3-35040X-7.8542,0.0
31.0,,S,7.8542,"Olsson, Miss. Elina",0,397,3,female,0,0.0,35040X,Olsson,woman,Carlsson-S-3-35040X-7.8542,Carlsson-S-3-35040X-7.8542,2,S-3-35040X-7.8542,0.0
28.0,,S,14.4,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",1,424,3,female,1,0.0,34708X,Danbom,woman,Danbom-S-3-34708X-14.4,Danbom-S-3-34708X-14.4,2,S-3-34708X-14.4,0.0
0.33,,S,14.4,"Danbom, Master. Gilbert Sigvard Emanuel",2,1093,3,male,0,,34708X,Danbom,boy,Danbom-S-3-34708X-14.4,Danbom-S-3-34708X-14.4,2,S-3-34708X-14.4,0.0
9.0,,S,34.375,"Ford, Miss. Robina Maggie ""Ruby""",2,148,3,female,2,0.0,W./C. 660X,Ford,woman,Ford-S-3-W./C. 660X-34.375,Ford-S-3-W./C. 660X-34.375,3,S-3-W./C. 660X-34.375,0.0
21.0,,S,34.375,"Ford, Miss. Doolina Margaret ""Daisy""",2,437,3,female,2,0.0,W./C. 660X,Ford,woman,Ford-S-3-W./C. 660X-34.375,Ford-S-3-W./C. 660X-34.375,3,S-3-W./C. 660X-34.375,0.0
48.0,,S,34.375,"Ford, Mrs. Edward (Margaret Ann Watson)",3,737,3,female,1,0.0,W./C. 660X,Ford,woman,Ford-S-3-W./C. 660X-34.375,Ford-S-3-W./C. 660X-34.375,3,S-3-W./C. 660X-34.375,0.0
11.0,,S,46.9,"Goodwin, Master. William Frederick",2,60,3,male,5,0.0,CA 214X,Goodwin,boy,Goodwin-S-3-CA 214X-46.9,Goodwin-S-3-CA 214X-46.9,6,S-3-CA 214X-46.9,0.0
16.0,,S,46.9,"Goodwin, Miss. Lillian Amy",2,72,3,female,5,0.0,CA 214X,Goodwin,woman,Goodwin-S-3-CA 214X-46.9,Goodwin-S-3-CA 214X-46.9,6,S-3-CA 214X-46.9,0.0
1.0,,S,46.9,"Goodwin, Master. Sidney Leonard",2,387,3,male,5,0.0,CA 214X,Goodwin,boy,Goodwin-S-3-CA 214X-46.9,Goodwin-S-3-CA 214X-46.9,6,S-3-CA 214X-46.9,0.0
